NAME,PRICE,CUISINE_CATEGORY,CITY,REGION,URL,PAGE NO,OUTLET_TYPE,TIMING,REVIEWS,RATING,VOTES
Budget Meal,350.0,"South Indian,Sandwich,Street Food,Fast Food",Mumbai,Kharghar,https://www.zomato.com/mumbai/budget-meal-kharghar-navi-mumbai/info,554,Quick Bites,8am to 11pm(Mon-Sun),Average,3.2,6.0
Priti Pure Veg,550.0,"North Indian,South Indian,Fast Food",Mumbai,Dombivali,https://www.zomato.com/mumbai/priti-pure-veg-dombivali-west/info,554,Quick Bites,9am to 1130pm(Mon-Sun),Average,3.3,15.0
Gopal Krishna- Veg & Non Veg,500.0,"Street Food,Chinese,South Indian,North Indian,Beverages",Mumbai,Chakala,https://www.zomato.com/mumbai/gopal-krishna-veg-non-veg-chakala/info,554,Casual Dining,815am to 1130pm(Mon-Sun),Good,3.5,26.0
New Shanghai Family Restaurant,800.0,"Chinese,North Indian",Mumbai,Kharghar,https://www.zomato.com/mumbai/new-shanghai-family-restaurant-kharghar-navi-mumbai/info,554,Casual Dining,11am to 11pm(Mon-Sun),Average,3.0,50.0
Shaun's Cafe,500.0,"Cafe,Continental,Italian",Mumbai,Kalyan,https://www.zomato.com/mumbai/shauns-cafe-kalyan-thane/info,554,Quick Bites,12noon to 1130pm(Mon-Sun),Very Good,4.2,117.0
Chandu's,200.0,Fast Food,Mumbai,Virar,https://www.zomato.com/mumbai/chandus-virar/info,554,Quick Bites,"930am to 1030pm(Mon-Sat),2pm to 1030pm(Sun)",Good,3.5,27.0
Food King Fast Food,600.0,"Fast Food,North Indian,Mughlai,Chinese",Mumbai,Mira Road,https://www.zomato.com/mumbai/food-king-fast-food-mira-road/info,554,Quick Bites,12noon to 12midnight(Mon-Sun),Average,3.4,16.0
Coffee House,350.0,Cafe,Mumbai,Fort,https://www.zomato.com/mumbai/coffee-house-3-fort/info,554,Café,"8am to 830pm(Mon,Wed,Thu,Fri,Sat),8am to ...",Good,3.8,95.0
New Chopsticks,500.0,"Chinese,Thai",Mumbai,Mira Road,https://www.zomato.com/mumbai/new-chopsticks-mira-road/info,554,Quick Bites,1pm to 12midnight(Mon-Sun),Good,3.6,111.0
New Asra Restaurant,400.0,"Chinese,North Indian,Fast Food",Mumbai,Andheri,https://www.zomato.com/mumbai/new-asra-restaurant-mahakali/info,554,Quick Bites,11am to 1130pm(Mon-Sun),Average,3.2,13.0
Kokan Lajjat,300.0,Konkan,Mumbai,Thane,https://www.zomato.com/mumbai/kokan-lajjat-majiwada-thane-west-thane/info,554,Quick Bites,"11am to 3pm,7pm to 1030pm(Mon,Tue,Wed,Fri)...",Good,3.5,27.0
Chai Tapri,250.0,"Chinese,Fast Food,Beverages",Mumbai,Fort,https://www.zomato.com/mumbai/chai-tapri-fort/info,554,Quick Bites,730am to 11pm(Mon-Sun),Good,3.5,41.0
Famous Pancakes & Bubble Tea,250.0,Desserts,Mumbai,Andheri,https://www.zomato.com/mumbai/famous-pancakes-bubble-tea-1-andheri-lokhandwala/info,554,Food Court,11am to 1130pm(Mon-Sun),Good,3.9,23.0
The Decent Restaurant,600.0,"North Indian,Mughlai,Chinese",Mumbai,Andheri,https://www.zomato.com/mumbai/the-decent-restaurant-near-andheri-west-station/info,554,Casual Dining,10am to 12midnight(Mon-Sun),Good,3.5,72.0
Punjabi Moti Halwai,200.0,"Fast Food,North Indian",Mumbai,Fort,https://www.zomato.com/mumbai/punjabi-moti-halwai-fort/info,555,Quick Bites,9am to 8pm(Mon-Sun),Good,3.6,79.0
Lotus Court,750.0,"North Indian,Chinese,Mughlai",Mumbai,Andheri,https://www.zomato.com/mumbai/lotus-court-andheri-lokhandwala/info,555,Casual Dining,11am to 12midnight(Mon-Sun),Good,3.8,128.0
Kings Kulfi,150.0,"Desserts,Ice Cream",Mumbai,Goregaon,https://www.zomato.com/mumbai/kings-kulfi-goregaon-east/info,555,Dessert Parlor,11am to 11pm(Mon-Sun),Average,3.3,11.0
Food King Fast Food,600.0,"Fast Food,North Indian,Mughlai,Chinese",Mumbai,Mira Road,https://www.zomato.com/mumbai/food-king-fast-food-mira-road/info,555,Quick Bites,12noon to 12midnight(Mon-Sun),Average,3.4,16.0
The Little Chef,500.0,"Chinese,North Indian,Seafood",Mumbai,Dombivali,https://www.zomato.com/mumbai/the-little-chef-dombivali-east-thane/info,555,Quick Bites,11am to 1130pm(Mon-Sun),Average,3.4,159.0
Malvan Kinara,600.0,Malwani,Mumbai,Chembur,https://www.zomato.com/mumbai/malvan-kinara-chembur/info,555,Casual Dining,12noon to 12midnight(Mon-Sun),Average,3.4,25.0
Bombay Duck,800.0,"North Indian,Mughlai,Chinese,Seafood",Mumbai,Thane,https://www.zomato.com/bombayduckupvan/info,555,Casual Dining,11am to 12midnight(Mon-Sun),Good,3.5,116.0
Parkway Restaurant,400.0,"Street Food,Chinese,North Indian",Mumbai,Chembur,https://www.zomato.com/mumbai/parkway-restaurant-chembur/info,555,Casual Dining,"8am to 8pm(Mon-Sat),8am to 11pm(Sun)",Average,3.3,40.0
